Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
100% Corpus,8,symmetric,0.9099999999999999,0.361887829256232,-6.875064018073798
100% Corpus,8,symmetric,symmetric,0.4710136682658346,-7.083490050350294
100% Corpus,8,asymmetric,0.01,0.44389968745870967,-40.7704732280453
100% Corpus,8,asymmetric,0.31,0.3556427530273413,-6.861380890148504
100% Corpus,8,asymmetric,0.61,0.35522839797545486,-6.791268546503318
100% Corpus,8,asymmetric,0.9099999999999999,0.35766665634415007,-6.8600855334772755
100% Corpus,8,asymmetric,symmetric,0.49978866392677584,-7.063430855040831
100% Corpus,9,0.01,0.01,0.46287919777614406,-44.432983750221545
100% Corpus,9,0.01,0.31,0.38564948447748226,-6.7592378563978475
100% Corpus,9,0.01,0.61,0.3454201423141634,-6.691669677089602
100% Corpus,9,0.01,0.9099999999999999,0.3318469450417518,-6.77064708052036
100% Corpus,9,0.01,symmetric,0.4788997345859708,-7.4272762971311
100% Corpus,9,0.31,0.01,0.45932546744093616,-40.77073950046776
100% Corpus,9,0.31,0.31,0.3935398362093542,-6.929112012486808
100% Corpus,9,0.31,0.61,0.3571447424444969,-6.942527799568424
100% Corpus,9,0.31,0.9099999999999999,0.35033714959584533,-7.050989827655383
100% Corpus,9,0.31,symmetric,0.4708189475393627,-7.205894119017814
100% Corpus,9,0.61,0.01,0.449171704514188,-41.92987627208568
100% Corpus,9,0.61,0.31,0.36686956976916973,-7.061390631478369
100% Corpus,9,0.61,0.61,0.35022935509601744,-7.106974722947113
100% Corpus,9,0.61,0.9099999999999999,0.360472859477756,-7.170807700612893
100% Corpus,9,0.61,symmetric,0.44450825430605856,-7.22884370209599
100% Corpus,9,0.9099999999999999,0.01,0.4747376193382045,-42.62612200906807
100% Corpus,9,0.9099999999999999,0.31,0.41015934119084196,-7.097199917460979
100% Corpus,9,0.9099999999999999,0.61,0.39927397302329726,-7.145240384451333
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.35605803627729155,-7.162654843301166
100% Corpus,9,0.9099999999999999,symmetric,0.4423968745130826,-7.298282894273016
100% Corpus,9,symmetric,0.01,0.4707528549093053,-41.0460231726458
100% Corpus,9,symmetric,0.31,0.4106840583002101,-6.803919675564082
100% Corpus,9,symmetric,0.61,0.33894439648547153,-6.763473652474347
100% Corpus,9,symmetric,0.9099999999999999,0.36142823198685453,-6.839293974922349
100% Corpus,9,symmetric,symmetric,0.455871221289997,-7.169078709468367
100% Corpus,9,asymmetric,0.01,0.45027725042943106,-41.0939368242759
100% Corpus,9,asymmetric,0.31,0.43004038702531766,-6.861407104433652
100% Corpus,9,asymmetric,0.61,0.344492010352325,-6.834042748580462
100% Corpus,9,asymmetric,0.9099999999999999,0.3408783611707345,-6.898090616549736
100% Corpus,9,asymmetric,symmetric,0.45988275325260886,-7.2400364712580245
100% Corpus,10,0.01,0.01,0.4829965682785275,-44.836720134135824
100% Corpus,10,0.01,0.31,0.3987250594638617,-6.815948776880667
100% Corpus,10,0.01,0.61,0.3558700176748441,-6.714273645790978
100% Corpus,10,0.01,0.9099999999999999,0.3475844802568811,-6.75029042619868
100% Corpus,10,0.01,symmetric,0.467309307258136,-9.636393702508977
100% Corpus,10,0.31,0.01,0.4678732238500033,-40.81250937838274
100% Corpus,10,0.31,0.31,0.3854219769849117,-6.9743865680591135
100% Corpus,10,0.31,0.61,0.40057962141374504,-7.0411356747828435
100% Corpus,10,0.31,0.9099999999999999,0.35704252818203375,-7.105660863652059
100% Corpus,10,0.31,symmetric,0.4776308762755668,-7.3043440709090754
100% Corpus,10,0.61,0.01,0.4718494545437616,-42.09723356537943
100% Corpus,10,0.61,0.31,0.3910383778943266,-7.098785287269362
100% Corpus,10,0.61,0.61,0.37906181208534795,-7.156914846926267
100% Corpus,10,0.61,0.9099999999999999,0.3863649615933692,-7.1488781247081
100% Corpus,10,0.61,symmetric,0.4729105365469552,-7.407943998635536
100% Corpus,10,0.9099999999999999,0.01,0.44134741118948495,-42.9561246806845
100% Corpus,10,0.9099999999999999,0.31,0.42024203743870814,-7.152432195592084
100% Corpus,10,0.9099999999999999,0.61,0.40179449854118954,-7.2096757091559
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3548545333320824,-7.294871642037116
100% Corpus,10,0.9099999999999999,symmetric,0.47525867201146843,-7.474496458113667
100% Corpus,10,symmetric,0.01,0.4984244907112626,-41.04595389393732
100% Corpus,10,symmetric,0.31,0.43228574776818895,-6.815417981265984
100% Corpus,10,symmetric,0.61,0.3639519565154688,-6.807622123831268
100% Corpus,10,symmetric,0.9099999999999999,0.36728878308525614,-6.885813357865746
100% Corpus,10,symmetric,symmetric,0.481532179637587,-7.872318166663799
100% Corpus,10,asymmetric,0.01,0.4381433939724687,-40.56022936868082
100% Corpus,10,asymmetric,0.31,0.394246998336492,-7.009846381032746
100% Corpus,10,asymmetric,0.61,0.37891518267793267,-6.707554609675134
100% Corpus,10,asymmetric,0.9099999999999999,0.3461295310321768,-6.84150170951278
100% Corpus,10,asymmetric,symmetric,0.46157128195457736,-7.393828031855321
